"type","value","slug","date_created"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T14:07:56.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T12:10:49.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T18:06:24.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T13:40:17.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T14:00:58.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T12:25:48.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T22:14:00.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T12:07:37.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T14:23:32.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T12:11:36.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T14:18:33.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T14:54:32.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T13:09:43.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T12:29:59.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T14:24:13.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T12:59:29.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T13:47:09.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T13:03:57.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T16:39:51.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T13:16:06.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T13:47:36.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T14:15:27.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T14:26:31.000Z"
"MASCLETA",3,"septima-jornada-mascletaes","2025-03-30T20:17:33.000Z"
