"type","value","slug","date_created"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:15:29.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T16:13:13.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T20:55:36.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T22:24:28.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:20:13.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:26:53.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:16:55.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T17:09:20.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:35:08.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T19:17:50.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T20:51:00.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T22:15:36.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T14:13:43.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:09:42.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T17:16:13.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-26T09:55:29.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:27:06.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:07:51.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T19:31:06.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T18:08:39.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-26T09:09:54.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:12:38.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:10:12.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T17:02:52.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T20:11:17.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:54:06.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:10:43.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:09:45.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T17:18:35.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T15:31:27.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:09:45.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:05:01.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T20:47:27.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-26T05:24:43.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T14:33:00.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-26T12:41:35.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:20:49.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:25:55.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T14:47:06.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T15:32:06.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:52:57.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T15:23:04.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:09:50.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T16:18:22.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T16:46:22.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T14:59:18.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T20:42:50.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T15:47:38.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:32:09.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T16:46:56.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:11:45.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:08:19.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:12:40.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T18:29:45.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:38:00.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T17:22:04.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T14:25:51.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:15:48.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:12:59.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:07:24.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T19:38:48.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:09:50.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:15:03.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:09:38.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:10:15.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T15:10:03.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T14:12:31.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T12:56:50.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:46:14.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:09:44.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:06:44.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:09:48.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:45:55.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-26T12:38:15.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-25T13:09:40.000Z"
"MASCLETA",4,"segunda-jornada-mascletaes","2025-03-26T07:32:57.000Z"
